Title,Author,Rating,Reviews,Price,Publication Year,Genre
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105.0,2013,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105.0,2014,Non Fiction
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82.0,2009,Fiction
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54.0,2016,Non Fiction
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,53.0,2009,Non Fiction
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52.0,2016,Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46.0,2011,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46.0,2009,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46.0,2010,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46.0,2013,Non Fiction
